support_ticket_id,support_ticket_answer_id
317281,1278390
317281,1278565
317281,1279647
317281,1279884
317281,1280256
317281,1280377
317281,1280488
317281,1283177
317281,1283183
317282,1278393
317282,1278463
317283,1278395
317283,1278594
317283,1278919
317283,1278940
317283,1278989
317283,1279003
317283,1279080
317284,1278400
317284,1278987
317284,1279042
317284,1279435
317284,1279457
317284,1279470
317284,1279488
317284,1279495
317284,1279575
317284,1279650
317284,1279838
317284,1279890
317284,1279972
317284,1280167
317284,1280743
317284,1280758
317284,1280764
317284,1280770
317284,1280784
317284,1281290
317285,1278402
317285,1278464
317285,1279434
317285,1279447
317285,1279822
317285,1279924
317286,1278403
317286,1278581
317287,1278406
317287,1278409
317287,1278734
317287,1278847
317287,1279361
317287,1279416
317287,1279831
317287,1279864
317287,1280087
317287,1280132
317287,1280202
317287,1280221
317287,1281425
317287,1281427
317287,1281694
317287,1291324
317287,1291369
317287,1291411
317288,1278407
317288,1278469
317289,1278408
317289,1278459
317289,1278532
317289,1278570
317289,1278618
317289,1278678
317289,1278738
317289,1278784
317289,1278812
317289,1278835
317289,1278849
317289,1278873
317289,1279373
317289,1279424
317289,1279790
317289,1279872
317289,1279989
317289,1280057
317289,1280233
317289,1280686
317290,1278410
317290,1278898
317291,1278411
317291,1278513
317291,1279228
317291,1279692
317292,1278412
317292,1278711
317292,1279347
317292,1279449
317292,1280940
317292,1281002
317292,1281466
317292,1281766
317292,1281773
317292,1281944
317292,1281986
317292,1282440
317292,1282894
317292,1286437
317292,1286543
317292,1286778
317292,1287152
317292,1287184
317293,1278414
317293,1278561
317294,1278416
317294,1278465
317295,1278418
317295,1278499
317295,1278963
317295,1278978
317295,1279121
317295,1279210
317296,1278420
317296,1278562
317296,1278588
317296,1278609
317296,1278701
317296,1278702
317296,1278923
317297,1278424
317297,1278425
317297,1278479
317297,1278505
317297,1278686
317297,1278692
317297,1278761
317297,1278810
317298,1278427
317298,1278730
317298,1281463
317299,1278430
317299,1278591
317299,1278862
317299,1279097
317299,1279943
317299,1279987
317299,1279988
317300,1278431
317300,1278524
317300,1278865
317300,1279117
317300,1279213
317300,1279375
317300,1280901
317300,1280911
317300,1280987
317300,1281296
317301,1278434
317301,1278821
317301,1278842
317301,1282579
317302,1278436
317302,1278437
317302,1278525
317302,1278807
317302,1278836
317302,1279004
317302,1280898
317302,1280930
317302,1281217
317302,1281385
317303,1278440
317303,1278441
317303,1278447
317303,1278535
317303,1278828
317303,1278857
317303,1278932
317303,1279038
317303,1279044
317303,1279170
317303,1279187
317303,1279194
317303,1279195
317303,1279255
317303,1279626
317303,1280718
317303,1280798
317303,1281047
317303,1281071
317303,1281075
317303,1281090
317304,1278442
317304,1278446
317304,1278467
317304,1278595
317304,1278600
317305,1278451
317305,1278508
317305,1279021
317305,1279040
317306,1278466
317306,1278567
317307,1278472
317307,1278632
317308,1278474
317308,1278477
317308,1278486
317308,1278492
317308,1278500
317308,1278504
317308,1278533
317308,1278537
317308,1285250
317308,1285274
317309,1278476
317309,1278563
317309,1278582
317309,1278623
317309,1278715
317309,1279171
317309,1279327
317309,1281537
317309,1281720
317309,1282686
317309,1282789
317309,1282944
317309,1282956
317309,1283147
317309,1283233
317310,1278480
317310,1278503
317311,1278485
317311,1278527
317311,1279407
317312,1278501
317312,1279338
317312,1279401
317313,1278509
317313,1278599
317314,1278519
317314,1278531
317315,1278523
317315,1278529
317315,1278540
317315,1278553
317316,1278528
317316,1278536
317317,1278544
317317,1279551
317317,1286365
317318,1278549
317318,1278556
317318,1278568
317319,1278566
317319,1279093
317320,1278571
317320,1278598
317321,1278577
317321,1278593
317322,1278586
317322,1278760
317322,1279377
317322,1279458
317322,1280040
317322,1280303
317322,1280478
317322,1281092
317322,1281564
317323,1278592
317323,1278653
317323,1279529
317323,1282123
317323,1282136
317323,1282696
317324,1278597
317324,1278602
317324,1278628
317324,1278637
317324,1278649
317325,1278605
317325,1278776
317325,1278912
317325,1279311
317326,1278607
317326,1278662
317326,1279281
317326,1279394
317326,1279582
317327,1278638
317327,1278657
317327,1278664
317327,1278674
317327,1278850
317328,1278652
317328,1278704
317328,1278798
317328,1278822
317328,1278947
317328,1280903
317328,1284136
317328,1284292
317328,1284306
317328,1284309
317328,1284655
317328,1284706
317328,1285056
317329,1278656
317329,1278743
317329,1278806
317329,1278833
317329,1278848
317329,1279555
317330,1278658
317330,1278712
317330,1278722
317330,1278727
317330,1278748
317330,1278774
317330,1278804
317330,1278869
317331,1278660
317331,1278661
317331,1278671
317331,1279478
317331,1279534
317331,1280797
317331,1280799
317332,1278665
317332,1278703
317332,1278706
317333,1278668
317333,1278714
317333,1279599
317333,1279707
317333,1279727
317333,1279755
317333,1279762
317333,1281649
317333,1281833
317333,1281853
317333,1281866
317333,1281899
317333,1282149
317333,1284339
317334,1278672
317334,1278790
317334,1278825
317334,1278938
317334,1280031
317334,1280125
317334,1281093
317334,1281160
317335,1278673
317335,1278872
317335,1279490
317335,1279709
317336,1278677
317336,1278707
317337,1278681
317337,1278709
317337,1278739
317337,1278753
317337,1278771
317337,1278813
317337,1278818
317338,1278682
317338,1278892
317338,1278931
317338,1278965
317339,1278684
317339,1278854
317339,1283974
317340,1278687
317340,1278749
317340,1278767
317340,1279690
317340,1279700
317340,1280246
317340,1281316
317340,1286439
317340,1286440
317340,1287846
317340,1287899
317340,1288831
317340,1289478
